lsoa21cd,domain_supermarket_proximity,domain_supermarket_accessibility,domain_ecommerce_access,domain_socio_demographic,domain_nonsupermarket_proximity,domain_food_for_families,domain_fuel_poverty,country,country_denominator,combined,pp_dec_domain_supermarket_proximity,pp_dec_domain_supermarket_accessibility,pp_dec_domain_ecommerce_access,pp_dec_domain_socio_demographic,pp_dec_domain_nonsupermarket_proximity,pp_dec_domain_food_for_families,pp_dec_domain_fuel_poverty,pp_dec_combined
95AA01S1,480,,,810,518,760,,NI,890,810,6,,,10,6,9,,10
95AA01S2,446,,,789,511,793,,NI,890,807,6,,,9,6,9,,10
95AA01S3,435,,,688,291,686,,NI,890,549,5,,,8,4,8,,7
95AA02W1,714,,,470,661,237,,NI,890,454,9,,,6,8,3,,6
95AA03W1,344,,,218,467,614,,NI,890,242,4,,,3,6,7,,3
95AA04W1,427,,,758,387,771,,NI,890,740,5,,,9,5,9,,9
95AA05W1,144,,,632,392,642,,NI,890,403,2,,,8,5,8,,5
95AA06S1,522,,,627,650,816,,NI,890,794,6,,,8,8,10,,9
95AA06S2,713,,,598,680,810,,NI,890,833,9,,,7,8,10,,10
95AA07W1,135,,,509,364,601,,NI,890,275,2,,,6,5,7,,4
95AA08W1,345,,,235,413,616,,NI,890,228,4,,,3,5,7,,3
95AA09W1,730,,,225,618,344,,NI,890,374,9,,,3,7,4,,5
95AA10W1,402,,,345,414,554,,NI,890,243,5,,,4,5,7,,3
95AA11S1,814,,,645,686,169,,NI,890,685,10,,,8,8,2,,8
95AA11S2,816,,,821,558,500,,NI,890,838,10,,,10,7,6,,10
95AA12W1,202,,,794,109,753,,NI,890,674,3,,,9,2,9,,8
95AA13S1,431,,,663,480,452,,NI,890,417,5,,,8,6,6,,5
95AA13S2,220,,,628,532,234,,NI,890,251,3,,,8,6,3,,3
95AA14W1,248,,,786,83,720,,NI,890,616,3,,,9,1,9,,7
95AA15S1,547,,,588,496,420,,NI,890,399,7,,,7,6,5,,5
95AA15S2,577,,,297,350,598,,NI,890,314,7,,,4,4,7,,4
95AA16W1,580,,,368,433,424,,NI,890,270,7,,,5,5,5,,4
95AA17W1,504,,,462,439,502,,NI,890,320,6,,,6,5,6,,4
95AA18W1,203,,,813,352,751,,NI,890,741,3,,,10,4,9,,9
95AA19W1,102,,,543,231,770,,NI,890,445,2,,,7,3,9,,5
95BB01S1,97,,,690,166,861,,NI,890,758,2,,,8,2,10,,9
95BB01S2,109,,,752,239,857,,NI,890,792,2,,,9,3,10,,9
95BB02W1,647,,,200,525,651,,NI,890,436,8,,,3,6,8,,5
95BB03S1,33,,,254,68,881,,NI,890,667,1,,,3,1,10,,8
95BB03S2,46,,,380,76,883,,NI,890,721,1,,,5,1,10,,9
95BB04S1,741,,,467,569,323,,NI,890,456,9,,,6,7,4,,6
95BB04S2,523,,,719,370,574,,NI,890,548,6,,,9,5,7,,7
95BB05S1,180,,,613,43,845,,NI,890,648,3,,,7,1,10,,8
95BB05S2,99,,,622,47,860,,NI,890,698,2,,,7,1,10,,8
95BB06W1,750,,,69,621,536,,NI,890,451,9,,,1,7,7,,6
95BB07S1,246,,,241,334,821,,NI,890,477,3,,,3,4,10,,6
95BB07S2,265,,,669,225,811,,NI,890,654,3,,,8,3,10,,8
95BB08S1,261,,,469,316,813,,NI,890,543,3,,,6,4,10,,7
95BB08S2,274,,,804,221,801,,NI,890,767,4,,,10,3,9,,9
95BB09S1,257,,,592,296,804,,NI,890,585,3,,,7,4,10,,7
95BB09S2,230,,,680,309,819,,NI,890,690,3,,,8,4,10,,8
95BB10S1,173,,,287,117,841,,NI,890,482,2,,,4,2,10,,6
95BB10S2,231,,,781,49,824,,NI,890,750,3,,,9,1,10,,9
95BB11S1,174,,,195,112,839,,NI,890,449,2,,,3,2,10,,6
95BB11S2,159,,,475,96,849,,NI,890,579,2,,,6,2,10,,7
95BB12S1,537,,,81,584,240,,NI,890,145,7,,,1,7,3,,2
95BB12S2,374,,,559,280,466,,NI,890,252,5,,,7,4,6,,3
95BB13S1,491,,,273,177,741,,NI,890,361,6,,,4,2,9,,5
95BB13S2,679,,,303,483,660,,NI,890,485,8,,,4,6,8,,6
95BB13S3,505,,,793,270,698,,NI,890,711,6,,,9,4,8,,8
95BB14S1,88,,,808,95,866,,NI,890,836,1,,,10,2,10,,10
95BB14S2,64,,,763,139,873,,NI,890,829,1,,,9,2,10,,10
95BB15S1,21,,,616,5,885,,NI,890,795,1,,,7,1,10,,9
95BB15S2,37,,,230,106,887,,NI,890,722,1,,,3,2,10,,9
95BB16S1,178,,,820,228,832,,NI,890,809,2,,,10,3,10,,10
95BB16S2,168,,,784,188,851,,NI,890,805,2,,,9,3,10,,10
95BB17S1,355,,,456,179,763,,NI,890,428,4,,,6,3,9,,5
95BB17S2,309,,,507,124,773,,NI,890,452,4,,,6,2,9,,6
95BB18S1,127,,,298,74,855,,NI,890,524,2,,,4,1,10,,6
95BB18S2,166,,,698,70,838,,NI,890,694,2,,,8,1,10,,8
95BB19S1,520,,,460,465,630,,NI,890,421,6,,,6,6,8,,5
95BB19S2,342,,,842,187,709,,NI,890,759,4,,,10,3,8,,9
95BB19S3,380,,,852,267,702,,NI,890,785,5,,,10,3,8,,9
95BB20S1,50,,,429,85,872,,NI,890,661,1,,,5,1,10,,8
95BB20S2,66,,,406,116,865,,NI,890,611,1,,,5,2,10,,7
95BB21S1,12,,,383,51,890,,NI,890,771,1,,,5,1,10,,9
95BB21S2,15,,,546,67,888,,NI,890,797,1,,,7,1,10,,9
95BB22S1,460,,,271,197,752,,NI,890,373,6,,,4,3,9,,5
95BB22S2,584,,,70,290,683,,NI,890,295,7,,,1,4,8,,4
95BB23S1,475,,,691,481,559,,NI,890,528,6,,,8,6,7,,6
95BB23S2,332,,,887,186,657,,NI,890,848,4,,,10,3,8,,10
95CC01W1,773,,,355,770,283,,NI,890,569,9,,,4,9,4,,7
95CC02W1,208,,,618,256,573,,NI,890,311,3,,,7,3,7,,4
95CC03W1,731,,,61,837,305,,NI,890,555,9,,,1,10,4,,7
95CC04W1,87,,,259,159,646,,NI,890,130,1,,,3,2,8,,2
95CC05W1,151,,,378,349,560,,NI,890,175,2,,,5,4,7,,2
95CC06S1,484,,,766,668,329,,NI,890,603,6,,,9,8,4,,7
95CC06S2,499,,,515,688,289,,NI,890,384,6,,,6,8,4,,5
95CC07W1,59,,,296,246,687,,NI,890,198,1,,,4,3,8,,3
95CC08W1,559,,,194,795,345,,NI,890,410,7,,,3,9,4,,5
95CC09S1,148,,,822,194,550,,NI,890,551,2,,,10,3,7,,7
95CC09S2,158,,,818,412,564,,NI,890,613,2,,,10,5,7,,7
95CC10W1,222,,,798,428,491,,NI,890,546,3,,,9,5,6,,7
95CC11W1,89,,,66,485,648,,NI,890,173,1,,,1,6,8,,2
95CC12W1,204,,,617,353,533,,NI,890,309,3,,,7,4,6,,4
95CC13W1,95,,,547,172,699,,NI,890,324,2,,,7,2,8,,4
95CC14W1,211,,,646,601,612,,NI,890,502,3,,,8,7,7,,6
95CC15W1,132,,,501,422,581,,NI,890,274,2,,,6,5,7,,4
95CC16W1,91,,,226,488,631,,NI,890,206,2,,,3,6,8,,3
95CC17W1,256,,,644,215,528,,NI,890,301,3,,,8,3,6,,4
95CC18W1,663,,,280,808,168,,NI,890,468,8,,,4,10,2,,6
95CC19W1,101,,,333,248,711,,NI,890,245,2,,,4,3,8,,3
95CC20S1,171,,,800,622,481,,NI,890,618,2,,,9,7,6,,7
95CC20S2,190,,,621,645,442,,NI,890,395,3,,,7,8,5,,5
95CC21W1,167,,,294,712,627,,NI,890,380,2,,,4,8,8,,5
95CC22W1,705,,,171,831,215,,NI,890,522,8,,,2,10,3,,6
95DD01W1,485,,,489,393,714,,NI,890,488,6,,,6,5,9,,6
95DD02S1,213,,,674,356,786,,NI,890,626,3,,,8,4,9,,8
95DD02S2,217,,,826,330,785,,NI,890,784,3,,,10,4,9,,9
95DD03W1,468,,,805,374,634,,NI,890,702,6,,,10,5,8,,8
95DD04W1,595,,,104,418,278,,NI,890,119,7,,,2,5,4,,2
95DD05W1,726,,,80,342,585,,NI,890,334,9,,,1,4,7,,4
95DD06W1,483,,,877,286,733,,NI,890,855,6,,,10,4,9,,10
95DD07S1,268,,,544,183,772,,NI,890,475,4,,,7,3,9,,6
95DD07S2,233,,,615,196,789,,NI,890,544,3,,,7,3,9,,7
95DD08W1,871,,,101,725,661,,NI,890,799,10,,,2,9,8,,9
95DD09W1,224,,,730,77,817,,NI,890,689,3,,,9,1,10,,8
95DD10W1,237,,,564,384,799,,NI,890,575,3,,,7,5,9,,7
95DD11W1,482,,,158,208,745,,NI,890,332,6,,,2,3,9,,4
95DD12W1,105,,,725,167,843,,NI,890,728,2,,,9,2,10,,9
95DD13W1,742,,,141,522,716,,NI,890,553,9,,,2,6,9,,7
95DD14S1,296,,,761,103,748,,NI,890,627,4,,,9,2,9,,8
95DD14S2,308,,,883,123,727,,NI,890,850,4,,,10,2,9,,10
95DD15W1,79,,,745,185,856,,NI,890,773,1,,,9,3,10,,9
95DD16W1,218,,,764,44,776,,NI,890,646,3,,,9,1,9,,8
95DD17W1,117,,,753,52,823,,NI,890,700,2,,,9,1,10,,8
95DD18W1,675,,,204,588,549,,NI,890,408,8,,,3,7,7,,5
95DD19S1,212,,,526,160,768,,NI,890,435,3,,,6,2,9,,5
95DD19S2,242,,,689,66,742,,NI,890,506,3,,,8,1,9,,6
95DD20W1,863,,,95,614,555,,NI,890,686,10,,,2,7,7,,8
95DD21W1,718,,,322,582,710,,NI,890,612,9,,,4,7,8,,7
95DD22S1,80,,,562,229,854,,NI,890,671,1,,,7,3,10,,8
95DD22S2,36,,,244,333,870,,NI,890,633,1,,,3,4,10,,8
95DD23W1,119,,,681,14,836,,NI,890,656,2,,,8,1,10,,8
95DD24W1,529,,,756,271,728,,NI,890,704,6,,,9,4,9,,8
95EE01W1,20,,,556,304,750,,NI,890,413,1,,,7,4,9,,5
95EE02W1,184,,,389,212,611,,NI,890,187,3,,,5,3,7,,3
95EE03W1,550,,,278,761,97,,NI,890,299,7,,,4,9,2,,4
95EE04W1,43,,,451,431,737,,NI,890,385,1,,,6,5,9,,5
95EE05W1,271,,,367,318,479,,NI,890,146,4,,,5,4,6,,2
95EE06W1,139,,,626,551,618,,NI,890,450,2,,,8,7,7,,6
95EE07W1,639,,,426,819,117,,NI,890,513,8,,,5,10,2,,6
95EE08W1,682,,,596,846,270,,NI,890,726,8,,,7,10,4,,9
95EE09W1,146,,,589,461,633,,NI,890,389,2,,,7,6,8,,5
95EE10W1,51,,,620,420,721,,NI,890,470,1,,,7,5,9,,6
95EE11W1,134,,,737,135,621,,NI,890,426,2,,,9,2,7,,5
95EE12W1,617,,,170,817,230,,NI,890,441,7,,,2,10,3,,5
95EE13W1,694,,,153,848,310,,NI,890,581,8,,,2,10,4,,7
95EE14W1,453,,,566,669,488,,NI,890,476,6,,,7,8,6,,6
95EE15W1,122,,,584,365,656,,NI,890,364,2,,,7,5,8,,5
95EE16W1,214,,,597,300,590,,NI,890,323,3,,,7,4,7,,4
95FF01S1,751,,,807,813,678,,NI,890,875,9,,,10,10,8,,10
95FF01S2,662,,,732,723,691,,NI,890,806,8,,,9,9,8,,10
95FF02W1,103,,,480,243,498,,NI,890,148,2,,,6,3,6,,2
95FF03W1,599,,,461,816,696,,NI,890,757,7,,,6,10,8,,9
95FF04W1,235,,,602,324,743,,NI,890,498,3,,,7,4,9,,6
95FF05W1,118,,,336,728,586,,NI,890,368,2,,,4,9,7,,5
95FF06S1,104,,,643,748,588,,NI,890,559,2,,,8,9,7,,7
95FF06S2,106,,,787,706,610,,NI,890,706,2,,,9,8,7,,8
95FF07W1,649,,,265,851,675,,NI,890,762,8,,,3,10,8,,9
95FF08W1,830,,,471,850,689,,NI,890,864,10,,,6,10,8,,10
95FF09W1,155,,,353,653,597,,NI,890,327,2,,,4,8,7,,4
95FF10W1,65,,,666,180,680,,NI,890,398,1,,,8,3,8,,5
95FF11W1,93,,,641,193,754,,NI,890,478,2,,,8,3,9,,6
95FF12W1,278,,,552,594,637,,NI,890,464,4,,,7,7,8,,6
95FF13W1,428,,,538,529,722,,NI,890,550,5,,,7,6,9,,7
95FF14W1,175,,,751,450,606,,NI,890,533,2,,,9,6,7,,6
95FF15W1,69,,,270,633,797,,NI,890,509,1,,,4,8,9,,6
95FF16W1,472,,,580,718,655,,NI,890,639,6,,,7,9,8,,8
95FF17W1,793,,,164,852,677,,NI,890,812,9,,,2,10,8,,10
95GG01S1,740,,,560,771,163,,NI,890,594,9,,,7,9,2,,7
95GG01S2,884,,,302,765,260,,NI,890,791,10,,,4,9,3,,9
95GG01S3,881,,,256,810,341,,NI,890,814,10,,,3,10,4,,10
95GG02S1,744,,,17,751,262,,NI,890,404,9,,,1,9,3,,5
95GG02S2,758,,,2,756,253,,NI,890,415,9,,,1,9,3,,5
95GG02S3,847,,,7,804,178,,NI,890,625,10,,,1,10,2,,8
95GG03S1,756,,,671,616,264,,NI,890,604,9,,,8,7,3,,7
95GG03S2,818,,,652,658,231,,NI,890,692,10,,,8,8,3,,8
95GG03S3,755,,,459,702,147,,NI,890,490,9,,,6,8,2,,6
95GG04S1,707,,,98,789,203,,NI,890,416,8,,,2,9,3,,5
95GG04S2,717,,,165,791,150,,NI,890,442,9,,,2,9,2,,5
95GG04S3,861,,,27,840,21,,NI,890,699,10,,,1,10,1,,8
95GG05S1,418,,,482,624,261,,NI,890,278,5,,,6,8,3,,4
95GG05S2,396,,,548,687,225,,NI,890,336,5,,,7,8,3,,4
95GG05S3,364,,,127,703,156,,NI,890,144,5,,,2,8,2,,2
95GG06S1,833,,,110,617,489,,NI,890,556,10,,,2,7,6,,7
95GG06S2,825,,,338,611,451,,NI,890,589,10,,,4,7,6,,7
95GG06S3,651,,,357,534,495,,NI,890,387,8,,,5,6,6,,5
95GG07S1,865,,,295,839,295,,NI,890,798,10,,,4,10,4,,9
95GG07S2,801,,,43,858,217,,NI,890,678,9,,,1,10,3,,8
95GG07S3,664,,,188,860,208,,NI,890,578,8,,,3,10,3,,7
95GG08S1,575,,,442,369,484,,NI,890,305,7,,,5,5,6,,4
95GG08S2,619,,,87,585,493,,NI,890,290,7,,,1,7,6,,4
95GG08S3,706,,,245,565,450,,NI,890,375,8,,,3,7,6,,5
95GG09S1,552,,,862,501,334,,NI,890,769,7,,,10,6,4,,9
95GG09S2,544,,,726,404,397,,NI,890,487,7,,,9,5,5,,6
95GG09S3,805,,,402,341,537,,NI,890,520,10,,,5,4,7,,6
95GG10S1,849,,,29,822,438,,NI,890,738,10,,,1,10,5,,9
95GG10S2,768,,,57,844,249,,NI,890,591,9,,,1,10,3,,7
95GG11S1,845,,,103,833,53,,NI,890,666,10,,,2,10,1,,8
95GG11S2,784,,,540,776,109,,NI,890,635,9,,,7,9,2,,8
95GG11S3,778,,,140,778,145,,NI,890,480,9,,,2,9,2,,6
95GG12S1,686,,,181,784,187,,NI,890,412,8,,,3,9,3,,5
95GG12S2,477,,,207,745,88,,NI,890,221,6,,,3,9,1,,3
95GG12S3,410,,,187,749,14,,NI,890,180,5,,,3,9,1,,3
95GG12S4,420,,,44,788,78,,NI,890,212,5,,,1,9,1,,3
95GG12S5,417,,,74,736,25,,NI,890,142,5,,,1,9,1,,2
95GG13S1,802,,,108,410,439,,NI,890,376,10,,,2,5,5,,5
95GG13S2,519,,,511,401,515,,NI,890,343,6,,,6,5,6,,4
95GG13S3,419,,,360,402,525,,NI,890,236,5,,,5,5,6,,3
95GG14S1,421,,,785,537,492,,NI,890,620,5,,,9,7,6,,7
95GG14S2,411,,,542,498,518,,NI,890,360,5,,,7,6,6,,5
95GG14S3,391,,,863,469,534,,NI,890,779,5,,,10,6,6,,9
95GG15S1,395,,,872,396,461,,NI,890,774,5,,,10,5,6,,9
95GG15S2,343,,,749,361,462,,NI,890,462,4,,,9,5,6,,6
95GG15S3,353,,,569,407,322,,NI,890,226,4,,,7,5,4,,3
95GG16S1,887,,,132,663,303,,NI,890,739,10,,,2,8,4,,9
95GG16S2,781,,,362,635,401,,NI,890,519,9,,,5,8,5,,6
95GG16S3,684,,,513,607,425,,NI,890,491,8,,,6,7,5,,6
95GG17S1,786,,,88,768,246,,NI,890,496,9,,,1,9,3,,6
95GG17S2,749,,,553,684,328,,NI,890,576,9,,,7,8,4,,7
95GG17S3,754,,,112,713,316,,NI,890,419,9,,,2,9,4,,5
95GG18S1,629,,,28,857,138,,NI,890,484,8,,,1,10,2,,6
95GG18S2,737,,,79,862,58,,NI,890,568,9,,,1,10,1,,7
95GG19S1,843,,,6,842,75,,NI,890,662,10,,,1,10,1,,8
95GG19S2,820,,,19,825,70,,NI,890,562,10,,,1,10,1,,7
95GG20S1,873,,,31,855,213,,NI,890,790,10,,,1,10,3,,9
95GG20S2,846,,,32,772,106,,NI,890,554,10,,,1,9,2,,7
95GG21S1,693,,,30,859,118,,NI,890,530,8,,,1,10,2,,6
95GG21S2,733,,,12,871,89,,NI,890,597,9,,,1,10,1,,7
